,County,Positive Cases
0,Albany,205
1,Allegany,6
2,Broome,29
3,Cattaraugus,4
4,Cayuga,2
5,Chautauqua,5
6,Chemung,15
7,Chenango,15
8,Clinton,13
9,Columbia,23
10,Cortland,6
11,Delaware,8
12,Dutchess,320
13,Erie,358
14,Essex,4
15,Franklin,6
16,Fulton,1
17,Genesee,9
18,Greene,7
19,Hamilton,2
20,Herkimer,10
21,Jefferson,7
22,Lewis,2
23,Livingston,10
24,Madison,24
25,Monroe,219
26,Montgomery,6
27,Nassau,6445
28,Niagara,38
29,New York City,33768
30,Oneida,26
31,Onondaga,152
32,Ontario,18
33,Orange,1247
34,Orleans,3
35,Oswego,8
36,Otsego,10
37,Putnam,144
38,Rensselaer,39
39,Rockland,2209
40,Saratoga,102
41,Schenectady,76
42,Schoharie,5
43,Schuyler,1
44,St. Lawrence,12
45,Steuben,17
46,Suffolk,5023
47,Sullivan,88
48,Tioga,4
49,Tompkins,52
50,Ulster,146
51,Warren,18
52,Washington,7
53,Wayne,12
54,Westchester,8519
55,Wyoming,8
56,Total Number of Positive Cases,59513
