,County,Positive Cases
0,Albany,187
1,Allegany,2
2,Broome,18
3,Cayuga,2
4,Chautauqua,1
5,Chemung,11
6,Chenango,4
7,Clinton,11
8,Columbia,20
9,Cortland,4
10,Delaware,8
11,Dutchess,225
12,Erie,219
13,Essex,4
14,Franklin,2
15,Fulton,1
16,Genesee,6
17,Greene,6
18,Hamilton,2
19,Herkimer,9
20,Jefferson,3
21,Livingston,3
22,Madison,17
23,Monroe,160
24,Montgomery,5
25,Nassau,4657
26,Niagara,23
27,New York City,25398
28,Oneida,13
29,Onondaga,115
30,Ontario,14
31,Orange,910
32,Orleans,3
33,Oswego,4
34,Otsego,5
35,Putnam,111
36,Rensselaer,35
37,Rockland,1457
38,Saratoga,82
39,Schenectady,66
40,Schoharie,3
41,St. Lawrence,3
42,Steuben,12
43,Suffolk,3385
44,Sullivan,64
45,Tioga,2
46,Tompkins,26
47,Ulster,98
48,Warren,8
49,Washington,6
50,Wayne,11
51,Westchester,7187
52,Wyoming,7
53,Total Number of Positive Cases,44635
