,County,Positive Cases
0,Albany,217
1,Allegany,7
2,Broome,35
3,Cattaraugus,6
4,Cayuga,3
5,Chautauqua,5
6,Chemung,15
7,Chenango,17
8,Clinton,17
9,Columbia,26
10,Cortland,8
11,Delaware,11
12,Dutchess,392
13,Erie,376
14,Essex,4
15,Franklin,6
16,Fulton,1
17,Genesee,9
18,Greene,10
19,Hamilton,2
20,Herkimer,12
21,Jefferson,11
22,Lewis,2
23,Livingston,12
24,Madison,34
25,Monroe,242
26,Montgomery,6
27,Nassau,7344
28,Niagara,41
29,New York City,37453
30,Oneida,34
31,Onondaga,180
32,Ontario,20
33,Orange,1435
34,Orleans,4
35,Oswego,14
36,Otsego,17
37,Putnam,167
38,Rensselaer,40
39,Rockland,2511
40,Saratoga,105
41,Schenectady,80
42,Schoharie,6
43,Schuyler,2
44,St. Lawrence,13
45,Steuben,19
46,Suffolk,5791
47,Sullivan,101
48,Tioga,4
49,Tompkins,66
50,Ulster,190
51,Warren,18
52,Washington,7
53,Wayne,15
54,Westchester,9326
55,Wyoming,8
56,Total Number of Positive Cases,66497
