,County,Positive Cases
0,Albany,240
1,Allegany,9
2,Broome,42
3,Cattaraugus,7
4,Cayuga,3
5,Chautauqua,6
6,Chemung,22
7,Chenango,26
8,Clinton,25
9,Columbia,31
10,Cortland,8
11,Delaware,20
12,Dutchess,547
13,Erie,464
14,Essex,6
15,Franklin,9
16,Fulton,2
17,Genesee,13
18,Greene,18
19,Hamilton,2
20,Herkimer,12
21,Jefferson,12
22,Lewis,2
23,Livingston,14
24,Madison,51
25,Monroe,349
26,Montgomery,7
27,Nassau,9554
28,Niagara,46
29,New York City,47439
30,Oneida,50
31,Onondaga,217
32,Ontario,24
33,Orange,1756
34,Orleans,6
35,Oswego,17
36,Otsego,19
37,Putnam,207
38,Rensselaer,43
39,Rockland,3321
40,Saratoga,122
41,Schenectady,93
42,Schoharie,8
43,Schuyler,2
44,Seneca,2
45,St. Lawrence,34
46,Steuben,38
47,Suffolk,7605
48,Sullivan,121
49,Tioga,7
50,Tompkins,68
51,Ulster,221
52,Warren,18
53,Washington,10
54,Wayne,24
55,Westchester,10683
56,Wyoming,10
57,Total Number of Positive Cases,83712
